code,water_source_type,inspecting_agency,inspection_date,distance_to_settlement,date_source_established,latitude,longitude,permanent,months_used,functioning,reason_for_non_functioning,number_of_human_using_source,number_of_camel_using_source,number_of_cattle_using_source,number_of_shoats_using_source,number_of_hectares_irrigated_using_source,source_protected,berkad_depth,berkad_length,berkad_width,other_source_yield,number_of_animal_troughs,source_used_for_water_trucking,number_of_trucks_per_day,supply_system_condition,supply_system_condition_description,wsc_date_of_establishment,last_intervention_description,last_intervention_date,metadata_tag
SPBRIS017,Spring,SWALIM_WSIS,2008-06-17,,,11.4457,51.0478,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBRCA008,Dug Well,SWALIM_WSIS,2008-06-10,,,11.9042,50.5933,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKHRBE030,Berkad,SWALIM Archives,2005-02-22,,,5.0389,45.2868,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWGDGA017,Dug Well,SWALIM_WSIS,2009-10-17,,,3.204,42.3945,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBRBO052,Dug Well,SWALIM_WSIS,2008-05-28,,,11.282,49.2047,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMWGGE027,Dam,SWALIM_WSIS,2008-06-15,,,9.5819,43.4849,No,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWTGOD059,Dug Well,SWALIM Archives,2004-07-01,,,9.3334,45.1624,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWTGOD050,Dug Well,SWALIM Archives,2004-07-01,,,9.3339,45.161,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
BHBYBA001,Borehole,SWALIM_WSIS,2009-07-25,,,2.7415,43.1645,,,No,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMWGHA033,Dam,SWALIM_WSIS,2008-06-29,,,9.8693,44.3979,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Borehole,FGS Ministry of Energy and Water Resources,,,,2.8035,43.1861,Yes,,Yes,,,,,,,,,,,,,,,,,,,,
DMMJSA003,Dam,SWALIM_WSIS,2009-09-29,,,1.864,42.192,,,No,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMSLCA002,Dam,SWALIM_WSIS,2008-06-14,,,8.9421,46.7507,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BHHRBE018,Borehole,SCF,2005-02-22,,,4.8012,45.2437,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
BHHRBE008,Borehole,SCF,2005-02-22,,,4.8908,45.0393,,,No,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DMWGGE049,Dam,SWALIM_WSIS,2008-07-06,,,9.3876,43.512,No,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBRBO034,Dug Well,SWALIM_WSIS,2008-05-29,,,11.2853,49.1785,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBYDI015,Dug Well,SWALIM_WSIS,2009-08-10,,,2.354,42.7,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWSNCR087,Dug Well,SWALIM_WSIS,2008-09-06,,,10.4191,47.6503,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKHRBE027,Berkad,SWALIM Archives,2005-02-22,,,4.7245,44.7016,,,No,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
,Dam,FGS Ministry of Energy and Water Resources,2022-04-18,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
SPBRBO001,Spring,SWALIM_WSIS,2008-05-28,,,11.1844,48.9521,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWLSAF010,Dug Well,BRCiS,2017-06-01,,,2.1504,45.1167,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWBRBO042,Dug Well,SWALIM_WSIS,2008-05-28,,,11.212,49.1879,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMWGHA040,Dam,SWALIM_WSIS,2008-06-24,,,9.0412,44.1031,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BHNGGA014,Borehole,SWALIM_WSIS,2008-08-02,,,8.4061,48.4799,,,Abandoned,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRBO041,Spring,SWALIM_WSIS,2008-05-27,,,11.2095,49.2068,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWMDHO055,Dug Well,SWALIM_WSIS,2009-02-08,,,5.5745,48.0804,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-19,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
DWGLCH082,Dug Well,SWALIM_WSIS,2009-08-16,,,4.326,47.8157,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Dam,FGS Ministry of Energy and Water Resources,2022-03-19,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
DWBRBO016,Dug Well,SWALIM_WSIS,2008-05-29,,,11.2846,49.1704,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPAWZE001,Spring,SWALIM_WSIS,2008-05-17,,,10.4185,42.8112,Yes,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWGLCH047,Dug Well,SWALIM_WSIS,2009-08-15,,,4.0344,47.3298,,,No,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWGLCH062,Dug Well,SWALIM_WSIS,2009-08-15,,,4.1197,47.4437,,,Abandoned,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Borehole,FGS Ministry of Energy and Water Resources,,,,3.1592,43.3961,,,Yes,,,,,,,,,,,,,,,,,,,,
DWMDHO058,Dug Well,SWALIM_WSIS,2009-02-09,,,5.7653,48.1223,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKHRBE029,Berkad,SWALIM Archives,2005-02-22,,,4.798,45.798,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWSLLA011,Dug Well,SWALIM_WSIS,2008-05-14,,,8.6069,47.3028,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWNGEY016,Dug Well,SWALIM_WSIS,2008-07-22,,,8.2409,49.827,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMBYBA008,Dam,SWALIM_WSIS,2009-08-10,,,2.9175,43.3691,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPAWBO009,Spring,SWALIM_WSIS,2008-06-18,,,9.988,43.2354,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWSLXU035,Dug Well,SWALIM_WSIS,2008-06-25,,,9.3018,47.5605,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWMJSA009,Dug Well,SWALIM_WSIS,2009-06-10,,,1.89,42.5,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWAWBO036,Dug Well,SWALIM_WSIS,2008-05-31,,,10.1279,43.2052,,,Abandoned,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BHBRQR019,Borehole,SWALIM_WSIS,2008-06-03,,,9.5054,49.0919,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWSLTA043,Dug Well,SWALIM_WSIS,2008-06-03,,,9.502,49.0614,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Borehole,FGS Ministry of Energy and Water Resources,,,,2.7415,43.1645,,,No,,,,,,,,,,,,,,,,,,,,
DWWGGE018,Dug Well,SWALIM_WSIS,2008-06-03,,,9.8377,43.6323,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Borehole,FGS Ministry of Energy and Water Resources,,,1/1/2016,3.1453,43.6561,,,No,,,,,,,,,,,,,,,,,,,,
BHBRQR031,Borehole,SWALIM_WSIS,2008-06-04,,,9.7332,49.5024,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPTGSH025,Spring,SWALIM_WSIS,2008-06-21,,,10.0629,45.7053,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRBO049,Spring,SWALIM_WSIS,2008-06-01,,,11.0982,49.3296,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKHRBE028,Berkad,SWALIM Archives,2005-02-22,,,4.8338,45.4056,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DMTGBC022,Dam,SWALIM_WSIS,2008-06-19,,,9.0264,45.6576,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBRBO030,Dug Well,SWALIM_WSIS,2008-05-29,,,11.2821,49.1752,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBRBO004,Dug Well,SWALIM_WSIS,2008-05-03,,,10.6401,49.05,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWLSAF009,Dug Well,BRCiS,2017-06-01,,,2.1504,45.1167,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DMBYDI009,Dam,SWALIM_WSIS,2009-09-28,,,2.0208,42.568,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWMDXA004,Dug Well,SWALIM_GSA,2016-02-26,,,4.4252,47.7076,,,,,,,,,,,,,,,,,,,,,,,Strategic Water Sources Survey in Galmudug State – WSS_GM
,Borehole,FGS Ministry of Energy and Water Resources,,,,3.132,43.6716,,,Yes,,,,,,,,,,,,,,,,,,,,
DWAWBO012,Dug Well,SWALIM_WSIS,2008-05-19,,,10.2023,43.0466,No,,No,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKHRBE031,Berkad,SWALIM Archives,2005-02-22,,,4.6274,45.4511,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWGLCH074,Dug Well,SWALIM_WSIS,2009-08-15,,,4.3025,47.596,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BHHRBE002,Borehole,SCF,2005-02-22,,,4.729,44.7163,,,No,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWMDHO005,Dug Well,SWALIM_WSIS,2009-07-28,,,6.1321,47.6768,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMWGGE023,Dam,SWALIM_WSIS,2008-06-19,,,9.625,43.4422,No,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWBRBO011,Dug Well,SWALIM_WSIS,2008-05-29,,,11.2816,49.1691,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMWGGE050,Dam,SWALIM_WSIS,2008-06-16,,,9.6013,43.3329,No,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Dug Well,FGS Ministry of Energy and Water Resources,2022-03-24,1.0,25/03/2022,0,0,,,,,,,,,,,,,,,,,,,,,,,
SPBRBO043,Spring,SWALIM_WSIS,2008-06-01,,,10.9717,49.2085,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMBYDI011,Dam,SWALIM_WSIS,2009-05-10,,,2.3541,42.7727,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPAWBO014,Spring,SWALIM_WSIS,2008-05-29,,,10.0649,43.3308,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Borehole,FGS Ministry of Energy and Water Resources,,,1/1/2015,3.1433,43.654,,,Yes,,,,,,,,,,,,,,,,,,,,
BHHRBE003,Borehole,SCF,2005-02-22,,,4.7791,44.7163,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
SPAWBO021,Spring,SWALIM_WSIS,2008-06-01,,,10.174,43.3446,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRBO007,Spring,SWALIM_WSIS,2008-05-26,,,11.1866,48.9782,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPAWBO022,Spring,SWALIM_WSIS,2008-06-01,,,10.1672,43.353,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMBYBU005,Dam,SWALIM_WSIS,2009-08-24,,,2.7908,44.0749,Yes,,No,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMAWBO009,Dam,SWALIM_WSIS,2008-06-16,,,9.6949,43.2988,No,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMGDGA013,Dam,SWALIM_WSIS,2009-10-19,,,2.81,42.5,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPWGHA010,Spring,SWALIM_WSIS,2008-05-22,,,9.8591,44.5363,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKBRIS001,Berkad,BRCiS,2017-06-01,,,10.2891,50.2358,,,,,300,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
BKTGBC005,Berkad,SWALIM_WSIS,2008-06-19,,,9.3338,45.5214,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMGLCB012,Dam,COOPI,2012-12-24,,,6.4256,46.4684,Yes,,Yes,,40,300,30,3000,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWSLXU022,Dug Well,SWALIM_WSIS,2008-09-06,,,9.4098,47.432,No,,No,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWGLCH012,Dug Well,SWALIM_WSIS,2009-08-09,,,4.128,46.6705,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWSLTA045,Dug Well,SWALIM_WSIS,2008-06-03,,,9.5025,49.0622,,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BHHRBE001,Borehole,SCF,2005-02-22,,,4.8161,44.6415,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
,Borehole,FGS Ministry of Energy and Water Resources,,,1/1/2015,3.1454,43.6538,Yes,,Yes,,,,,,,,,,,,,,,,,,,,
DMHRMA001,Dam,COOPI,2012-12-19,,,5.4514,45.4319,Yes,,Yes,,300,300,,2000,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWNGEY013,Dug Well,SWALIM_WSIS,2008-07-24,,,7.8072,49.8128,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRBA017,Spring,SWALIM_WSIS,2008-07-09,,,9.2303,50.6661,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BKGLCH001,Berkad,GSA/SWALIM,2016-02-28,,,4.1635,46.9133,,,,,,,,,,,,,,,,,,,,,,,SWALIM EXCEL FILE: Water_Sources_Data_All_Upto2018
BKHRBE018,Berkad,BRCiS,2017-06-01,,,5.0397,45.2901,,,,,60,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
BKNGEY003,Berkad,BRCiS,2017-06-01,,,8.5002,49.5774,,,,,30,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWTGBC046,Dug Well,SWALIM_WSIS,2008-05-15,,,9.069,45.9715,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWMDHO085,Dug Well,SWALIM_WSIS,2009-04-09,,,5.3461,48.5236,,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPAWBO016,Spring,SWALIM_WSIS,2008-06-01,,,10.107,43.3326,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
BHHRBE006,Borehole,SCF,2005-02-22,,,4.684,44.8929,,,No,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
BHSNCR064,Borehole,SWALIM_WSIS,2008-08-06,,,10.4686,47.9518,No,,No,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWAWBA061,Dug Well,SWALIM_WSIS,2008-05-30,,,10.0476,43.4891,No,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
SPBRBO009,Spring,SWALIM_WSIS,2008-05-28,,,11.2479,49.0384,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DWTGBH009,Dug Well,SWALIM_WSIS,2008-05-15,,,8.7142,46.7319,Yes,,Yes,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
DMGDBA014,Dam,SWALIM_WSIS,2009-10-14,,,2.395,42.136,Yes,,,,,,,,,,,,,,,,,,,,,,Water Sources Inventory Survey – WSIS
,Borehole,FGS Ministry of Energy and Water Resources,,,,3.0269,43.2436,Yes,,Yes,,,,,,,,,,,,,,,,,,,,
DWMDHO099,Dug Well,BRCiS,2017-06-01,,,6.1808,48.6874,,,,,,,,,,,,,,,,,,,,,,,Water Sources Data from Partners – WSD_Pat
DWBKXU043,Dug Well,SWALIM_WSIS,2009-07-25,,,4.0208,44.25,Yes,,Yes,,,,,,,,,,,,,,,,,,,2007-01-25,Water Sources Inventory Survey – WSIS
